sensor,n_running,n_reliable,n_degraded,n_unusable,pct_reliable,pct_degraded,pct_unusable
DESF_TA__MWH_DEL,9913,126,9786,1,1.27,98.72,0.01
DESF_TA__PF_B,9913,6465,2478,970,65.22,25.0,9.79
DESF_TA__PF_C,9913,6473,2448,992,65.3,24.69,10.01
DESF_TA__PF,9913,6481,2658,774,65.38,26.81,7.81
TT5449012H,9913,6613,3300,0,66.71,33.29,0.0
DESF_TA__PF_A,9913,6680,2838,395,67.39,28.63,3.98
TT5449017H,9913,7632,2281,0,76.99,23.01,0.0
VT5449012A,9913,8491,1421,1,85.66,14.33,0.01
DESF_TA__J2_VCN,9913,8616,1297,0,86.92,13.08,0.0
DESF_TA__J2_VCA,9913,8618,1295,0,86.94,13.06,0.0
DESF_TA__J2_VBC,9913,8620,1293,0,86.96,13.04,0.0
DESF_TA__J2_V_AVG_LL,9913,8632,1281,0,87.08,12.92,0.0
DESF_TA__J2_V_AVG_LN,9913,8634,1279,0,87.1,12.9,0.0
DESF_TA__J2_VAN,9913,8644,1269,0,87.2,12.8,0.0
DESF_TA__J2_VAB,9913,8647,1266,0,87.23,12.77,0.0
DESF_TA__J2_VBN,9913,8653,1260,0,87.29,12.71,0.0
VT5449017A,9913,8710,1199,4,87.86,12.1,0.04
VT5449012H,9913,8729,1181,3,88.06,11.91,0.03
VT5449011H,9913,8743,1169,1,88.2,11.79,0.01
VT5449016H,9913,8786,1126,1,88.63,11.36,0.01
VT5449013H,9913,8794,1118,1,88.71,11.28,0.01
DESF_TA__KW_C,9913,8838,1066,9,89.16,10.75,0.09
DESF_TA__KW_TOT,9913,8838,1066,9,89.16,10.75,0.09
DESF_TA__KW_A,9913,8839,1065,9,89.17,10.74,0.09
DESF_TA__KW_B,9913,8844,1060,9,89.22,10.69,0.09
VT5449017H,9913,8871,756,286,89.49,7.63,2.89
DESF_TA__KVA_A,9913,8955,949,9,90.34,9.57,0.09
DESF_TA__J1_I_AVG,9913,8959,944,10,90.38,9.52,0.1
DESF_TA__KVA_B,9913,8960,943,10,90.39,9.51,0.1
DESF_TA__KVA_C,9913,8960,943,10,90.39,9.51,0.1
DESF_TA__KVA_TOT,9913,8961,943,9,90.4,9.51,0.09
DESF_TA__J1_IC,9913,8973,929,11,90.52,9.37,0.11
DESF_TA__J1_IB,9913,8985,917,11,90.64,9.25,0.11
DESF_TA__J1_IA,9913,8986,917,10,90.65,9.25,0.1
DESF_TA__KVAR_A,9913,9046,856,11,91.25,8.64,0.11
DESF_TA__KVAR_B,9913,9071,830,12,91.51,8.37,0.12
DESF_TA__KVAR_TOT,9913,9075,827,11,91.55,8.34,0.11
DESF_TA__KVAR_C,9913,9096,807,10,91.76,8.14,0.1
DESF_TA__FREC,9913,9200,713,0,92.81,7.19,0.0
